Name,License Type,License Status,Phone Number,Address Number and Street,Address Line,City,State,ZIP,County,Named Individual #1,Named Individual #2
CENTRAL AUTO SERVICE,SMOG STATION - TEST & REPAIR,VALID,(510) 523-4770,1310 CENTRAL AVENUE,Null,ALAMEDA,CA,94501-0000,ALAMEDA COUNTY," PHUNG, PETER QUANG","SINGH, HARJINDER"
COLLEGE OF ALAMEDA AUTO MEC PROGM,SMOG STATION - TEST & REPAIR,VALID,(510) 522-7221,555 ATLANTIC AVE,Null,ALAMEDA,CA,94501-2109,ALAMEDA COUNTY," GREENSPAN, RICHARD",null
ENGINE WORKS,SMOG STATION - TEST & REPAIR,VALID,(510) 523-6779,1923 MINTURN STREET,Null,ALAMEDA,CA,94501-0000,ALAMEDA COUNTY," QUAN, ERIC FAY",null
FREDS WRENCHOUSE,SMOG STATION - TEST & REPAIR,VALID,(510) 521-7215,647 BUENA VISTA AVE,Null,ALAMEDA,CA,94501-2110,ALAMEDA COUNTY," HOGENBOOM, FREDERIK JACOB",null
HARBOR BAY 76 SERVICE,SMOG STATION - TEST & REPAIR,VALID,(510) 523-7408,3255 MECARTNEY RD,Null,ALAMEDA,CA,94502-6922,ALAMEDA COUNTY," KIM, ANGIE H","KIM, SIMON W"
JERRYS TIRE & AUTO CENTER,SMOG STATION - TEST & REPAIR,CANCELLED,(510) 523-4423,2501 SANTA CLARA AVENUE,Null,ALAMEDA,CA,94501-2914,ALAMEDA COUNTY," SHERMAN, JERRY DUANE",null
QUIK SMOG,SMOG STATION - TEST ONLY,DELINQUENT,(510) 475-8777,2035 SAN ANTONIO AVE,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY," DUBOW, ROBERT ANDREW",null
ROYAL AUTO REPAIR,SMOG STATION - TEST & REPAIR,REVOKED,(510) 522-2667,1127 LINCOLN AVE,Null,ALAMEDA,CA,94501-2323,ALAMEDA COUNTY," JABER, CRAIG","KING, RICHARD"
ROYAL AUTO REPAIR,SMOG STATION - TEST & REPAIR,REVOKED,(510) 522-2667,1127 LINCOLN AVENUE,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY," JABER, CRAIG F",null
SHELL OF ALAMEDA,SMOG STATION - TEST & REPAIR,CANCELLED,(510) 523-0191,1601 WEBSTER ST,Null,ALAMEDA,CA,94501-2133,ALAMEDA COUNTY," TRINH, DON","TRINH, SAM TRUONG"
SMOG DOG,SMOG STATION - TEST ONLY,SUSPENDED,(925) 691-1045,2035 SAN ANTONIO AVE,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY," DUBOW, ROBERT ANDREW",null
VALLEJO SMOG DOG,SMOG STATION - TEST ONLY,CANCELLED,(510) 205-1984,2035 SAN ANTONIO AVE,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY,null,null
SMOG MONKEY,SMOG STATION - TEST & REPAIR,CANCELLED,(925) 595-2467,2336 BLANDING AVE,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY,null,null
ALAMEDA SMOG DOG,SMOG STATION - TEST ONLY,CANCELLED,(510) 522-7664,1726 PARK ST. # A,Null,ALAMEDA,CA,94501-0000,ALAMEDA COUNTY,null,null
SPEEDY SMOG,SMOG STATION - TEST ONLY,REVOKED,(510) 522-7664,1726 PARK ST #A,Null,ALAMEDA,CA,94501-0000,ALAMEDA COUNTY,null,null
TONYS MOTOR SERVICE,SMOG STATION - TEST & REPAIR,CANCELLED,(510) 769-6085,1800 PARK ST,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY," CUNAHAN, ANTONIO M",null
VALLEJO SMOG DOG,SMOG STATION - TEST ONLY,CANCELLED,(510) 205-1984,2035 SAN ANTONIO AVE,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY,null,null
WHITMORE'S AUTO SERVICE,SMOG STATION - TEST & REPAIR,CANCELLED,(510) 715-6700,1701 BUENA VISTA AVE,Null,ALAMEDA,CA,94501-1202,ALAMEDA COUNTY,null,null
WEBSTER STREET UNION,SMOG STATION - TEST & REPAIR,DELINQUENT,(415) 521-2900,1629 WEBSTER ST,Null,ALAMEDA,CA,94501-2133,ALAMEDA COUNTY," KING, LARRY",null
WHITMORE'S AUTO SERVICE,SMOG STATION - TEST & REPAIR,CANCELLED,(510) 715-6700,1701 BUENA VISTA AVE,Null,ALAMEDA,CA,94501-1202,ALAMEDA COUNTY,null,null
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALBANY SUBARU,SMOG STATION - TEST & REPAIR,CANCELLED,(510) 528-1244,929 SAN PABLO AVE,Null,ALBANY,CA,94706-2009,ALAMEDA COUNTY,null,null
ALBANY SMOG TEST ONLY,SMOG STATION - TEST ONLY,VALID,(510) 524-7201,1111 SAN PABLO AVE STE B,Null,ALBANY,CA,94706-0000,ALAMEDA COUNTY," YU, YIWEN",null
ALBANY SUBARU,SMOG STATION - TEST & REPAIR,VALID,(510) 528-1244,929 SAN PABLO AVENUE,Null,ALBANY,CA,94706,ALAMEDA COUNTY," BENEFIT OF MICHAEL BERGLANDS-CAPPO, JEFFREY CAPPO T","CAPPO, JEFFREY EUGENE"
ALBANY SUBARU,SMOG STATION - TEST & REPAIR,CANCELLED,(510) 528-1244,929 SAN PABLO AVE,Null,ALBANY,CA,94706-2009,ALAMEDA COUNTY,null,null
ALBANY TIRE SERVICE,SMOG STATION - TEST & REPAIR,VALID,(510) 525-6427,742 SAN PABLO AVE,Null,ALBANY,CA,94706-1131,ALAMEDA COUNTY," OLSON, JOHN E",null
ARLINGTON AUTO SHOP,SMOG STATION - TEST & REPAIR,DELINQUENT,(510) 525-7095,806 SAN PABLO AVE,Null,ALBANY,CA,94706-0000,ALAMEDA COUNTY," SANCHEZ, ROBERTO R",null
AUTO CARE 101,SMOG STATION - TEST & REPAIR,CANCELLED,(510) 526-6011,700 SAN PABLO AVE,Null,ALBANY,CA,94706,ALAMEDA COUNTY,null,null
AUTO PLUS,SMOG STATION - TEST & REPAIR,VALID,(510) 527-0100,700 SAN PABLO AVE,Null,ALBANY,CA,94706-1126,ALAMEDA COUNTY," GARDIZI, ALI MOHAMMED",null
ALBANY SUBARU,SMOG STATION - TEST & REPAIR,VALID,(510) 528-1244,929 SAN PABLO AVENUE,Null,ALBANY,CA,94706,ALAMEDA COUNTY," BENEFIT OF MICHAEL BERGLANDS-CAPPO, JEFFREY CAPPO T","CAPPO, JEFFREY EUGENE"
NIPPON EUROPEAN MOTORS,SMOG STATION - TEST & REPAIR,CANCELLED,(510) 527-2443,730 SAN PABLO AVE,Null,ALBANY,CA,94706-1131,ALAMEDA COUNTY," INTHAWONG, SUTHEP TOM",null
TOYOTA OF BERKELEYS I-80 JUNCTION,SMOG STATION - TEST & REPAIR,VALID,(510) 845-7500,1025 EASTSHORE HIGHWAY,Null,ALBANY,CA,94710,ALAMEDA COUNTY," SOUTHWICK, TIMOTHY KENT SR","HUDSON, ADA MARILYN"
SUPER AUTO REPAIR,SMOG STATION - TEST & REPAIR,VALID,(510) 526-4490,630 SAN PABLO AVENUE,Null,ALBANY,CA,94706,ALAMEDA COUNTY,null,null
TOYOTA OF BERKELEYS I-80 JUNCTION,SMOG STATION - TEST & REPAIR,VALID,(510) 845-7500,1025 EASTSHORE HIGHWAY,Null,ALBANY,CA,94710,ALAMEDA COUNTY," SOUTHWICK, TIMOTHY KENT SR","HUDSON, ADA MARILYN"
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
700 THONG AUTO SERVICE,SMOG STATION - TEST & REPAIR,VALID,(626) 289-5563,700 S. ATLANTIC BLVD,Null,ALHAMBRA,CA,91803,LOS ANGELES COUNTY," LAM, RANDY",null
A 1 AUTOMOTIVE & SMOG,SMOG STATION - TEST & REPAIR,CANCELLED,(626) 537-4811,441 W VALLEY BLVD,Null,ALHAMBRA,CA,91803,LOS ANGELES COUNTY,null,null
A1 AUTOMOTIVE & SMOG,SMOG STATION - TEST & REPAIR,DELINQUENT,(626) 537-4811,441 W VALLEY BLVD,Null,ALHAMBRA,CA,91803,LOS ANGELES COUNTY," LA, HUY P","LY, PHUONG H"
ALHAMBRA NISSAN,SMOG STATION - TEST & REPAIR,CANCELLED,(866) 752-0365,726 E. MAIN STREET,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY,null,null
ALHAMBRA NISSAN,SMOG STATION - TEST & REPAIR,CANCELLED,(626) 289-6161,726 E MAIN ST,Null,ALHAMBRA,CA,91801-4052,LOS ANGELES COUNTY,null,null
ALHAMBRA SMOG CENTER,SMOG STATION - TEST ONLY,VALID,(626) 284-1700,3000 W MAIN STREET,Null,ALHAMBRA,CA,91801-0000,LOS ANGELES COUNTY," MOSES, VARTAN MOSES",null
ANTHONYS SMOG STATION,SMOG STATION - TEST ONLY,DELINQUENT,(626) 300-8765,2601 W MAIN ST UNIT B,Null,ALHAMBRA,CA,91801-0000,LOS ANGELES COUNTY," CACERES, HAROLD A",null
ANTHONYS SMOG STATION,SMOG STATION - TEST & REPAIR,CANCELLED,(626) 300-8765,2601 W MAIN ST UNIT B,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY,null,null
AUTO PROS 76 INC,SMOG STATION - TEST & REPAIR,VALID,(626) 300-8020,601 WEST VALLEY BLVD,Null,ALHAMBRA,CA,91803-0000,LOS ANGELES COUNTY," CHAU, TY VAN","LA BINH, THOI"
"AUTO UPGRADE SERVICE, INC",SMOG STATION - TEST & REPAIR,VALID,(626) 457-8766,2101 # C W VALLEY BLVD,Null,ALHAMBRA,CA,91803,LOS ANGELES COUNTY," LUO, JIEJIA","LI, DAVID"
BEWLEY ALLEN CADILLAC,SMOG STATION - TEST & REPAIR,CANCELLED,(626) 289-5203,801 E MAIN ST,Null,ALHAMBRA,CA,91801-4055,LOS ANGELES COUNTY,null,null
BOB WONDRIES FORD,SMOG STATION - TEST & REPAIR,VALID,(626) 289-3591,400 S ATLANTIC BLVD,Null,ALHAMBRA,CA,91801-3642,LOS ANGELES COUNTY," WONDRIES, PAUL",null
CALIFORNIA SUPERSTORES ALHAMBRA CHRYSLER DODGE JEEP RAM,SMOG STATION - TEST & REPAIR,CANCELLED,(888) 839-6088,1100 W MAIN STREET,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY,null,null
EXPRESS GENERAL AUTO REPAIR INC,SMOG STATION - TEST & REPAIR,CANCELLED,(626) 284-3408,2411 W MAIN ST,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY," LIANG, PAUL","YU, SUWEN"
EZ TIRE STOP,SMOG STATION - TEST & REPAIR,DELINQUENT,(626) 300-9292,502 S GARFIELD AVE,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY," CHEUNG, CALEB",null
GASVAN INC,SMOG STATION - TEST ONLY,CANCELLED,(626) 570-0555,600 N GARFIELD AVE,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY," THAI, RICKY","THAI, ANTHONY"
GILBERT MOTOR SERVICE,SMOG STATION - REPAIR ONLY,CANCELLED,(626) 282-0644,2100 WEST VALLEY BLVD,Null,ALHAMBRA,CA,91803,LOS ANGELES COUNTY,null,null
GOUDY HONDA,SMOG STATION - TEST & REPAIR,VALID,(626) 576-1114,1400 W MAIN ST,Null,ALHAMBRA,CA,91801-1952,LOS ANGELES COUNTY," GOUDY, GORDON H","FRENI, MARILYN M"
KERECHUK MOTOR SERVICE,SMOG STATION - TEST & REPAIR,CANCELLED,(626) 308-0811,120 EAST VALLEY BLVD,Null,ALHAMBRA,CA,91801-0000,LOS ANGELES COUNTY,null,null
KINS EXXON,SMOG STATION - TEST ONLY,CANCELLED,(626) 588-2021,600 N GARFIELD AVENUE,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY," LAW, KIN YIN","LAW, ANITA LIN"
LEAL SMOGS,SMOG STATION - TEST ONLY,CANCELLED,(323) 835-9742,3200 VALLEY BLVD UNIT #A,Null,ALHAMBRA,CA,91803,LOS ANGELES COUNTY," LEAL, MARISOL",null
"LIM'S AUTO CARE, INC",SMOG STATION - TEST & REPAIR,VALID,(626) 457-5901,521 W MISSION RD,Null,ALHAMBRA,CA,91801-0000,LOS ANGELES COUNTY," LIM, PETER-LIEN KIM",null
LU'S AUTO REPAIR,SMOG STATION - TEST & REPAIR,VALID,(626) 478-5190,2000 W VALLEY BLVD,Null,ALHAMBRA,CA,91803,LOS ANGELES COUNTY," LU, DAVID",null
M & G AUTO REPAIR,SMOG STATION - TEST & REPAIR,VALID,(626) 284-3037,9 W MISSION RD #B,Null,ALHAMBRA,CA,91801-3860,LOS ANGELES COUNTY," TREJO, GREGORIO PEREZ",null
M P & G TUNE UP CENTER,SMOG STATION - TEST & REPAIR,DELINQUENT,(213) 289-3116,3201 VALLEY BLVD,Null,ALHAMBRA,CA,91803-1826,LOS ANGELES COUNTY," FLOYD, ARLEND",null
MISSION TEST ONLY CENTER,SMOG STATION - TEST ONLY,VALID,(626) 703-4848,9 WEST MISSION RD UNIT B,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY," MALDONADO, RUDOLPH",null
MODERN AUTO SERVICE,SMOG STATION - TEST & REPAIR,CANCELLED,(626) 281-4772,2350 W MAIN ST,Null,ALHAMBRA,CA,91801-1742,LOS ANGELES COUNTY,null,null
NEW CENTURY BMW,SMOG STATION - TEST & REPAIR,VALID,(626) 570-8444,1139 W MAIN ST,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY," LIN, FRANK TZUHSU","LIN, TZU CHIEN"
P & W AUTO PARTS STORE,SMOG STATION - TEST & REPAIR,VALID,(626) 282-2148,315 W MISSION RD,Null,ALHAMBRA,CA,91801-3309,LOS ANGELES COUNTY," ALCOCER, ALFRED",null
RED BOX AUTO REPAIR,SMOG STATION - TEST & REPAIR,VALID,(626) 570-8177,515 W MISSION RD,Null,ALHAMBRA,CA,91801-3612,LOS ANGELES COUNTY," SUNG, TIE-WEI",null
S & M AUTO CENTER,SMOG STATION - TEST & REPAIR,CANCELLED,(626) 300-9292,502 S GARFIELD AVENUE,Null,ALHAMBRA,CA,91801-0000,LOS ANGELES COUNTY,null,null
SEVEN TEN SMOG CHECK,SMOG STATION - TEST ONLY,VALID,(323) 637-1072,3200 VALLEY BLVD UNIT B,Null,ALHAMBRA,CA,91803-0000,LOS ANGELES COUNTY," PLATA, JOSELYN GABRIELA",null
SHEPARD'S AUTOMOTIVE,SMOG STATION - TEST & REPAIR,DELINQUENT,(626) 308-3677,2524 W. MAIN ST.,Null,ALHAMBRA,CA,91801-0000,LOS ANGELES COUNTY," SHEPARD, STEPHEN MICHAEL","SLOAN, RENA MIA"
SIERRA ACURA OF ALHAMBRA,SMOG STATION - TEST & REPAIR,CANCELLED,(626) 284-8533,1700 W MAIN ST,Null,ALHAMBRA,CA,91801-1826,LOS ANGELES COUNTY,null,null
SILVER SMOG CHECK,SMOG STATION - TEST ONLY,VALID,(323) 420-9713,2601 W MAIN ST,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY," CHAVEZ, ERIBAN PLATA",null
SMOG PROS ALHAMBRA,SMOG STATION - TEST & REPAIR,VALID,(626) 289-3116,3201 W VALLEY BLVD,Null,ALHAMBRA,CA,91803,LOS ANGELES COUNTY," WONG, GARY K",null
TUNEUP MASTERS,SMOG STATION - TEST & REPAIR,CANCELLED,(626) 282-4626,521 W MISSION RD,Null,ALHAMBRA,CA,91801-3612,LOS ANGELES COUNTY," MCGORRIAN, RICHARD J","FELICIA, JAMES"
UNITED SMOG & REPAIR STATION,SMOG STATION - TEST ONLY,CANCELLED,(626) 282-6069,600 NORTH GARFIELD AVE,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY," KATRDZHYAN, AKOP JACK",null
UNITED SMOG & REPAIR STATION,SMOG STATION - TEST ONLY,CANCELLED,(626) 282-6069,600 NORTH GARFIELD AVE,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY," KATRDZHYAN, AKOP JACK",null
UNITED SMOG & REPAIR STATION,SMOG STATION - TEST & REPAIR,VALID,(626) 282-6069,600 NORTH GARFIELD AVE,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY," KATRDZHYAN, AKOP JACK",null
UNITED SMOG & REPAIR STATION,SMOG STATION - TEST & REPAIR,VALID,(626) 282-6069,600 NORTH GARFIELD AVE,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY," KATRDZHYAN, AKOP JACK",null
UNITED TEST ONLY CENTER,SMOG STATION - TEST ONLY,CANCELLED,(626) 282-6069,600 N GARFIELD AVE,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY," ASMAR, MAZEN",null
UPGRADE AUTO SERVICE,SMOG STATION - TEST & REPAIR,CANCELLED,(626) 282-5166,1007 FREMONT #C,Null,ALHAMBRA,CA,91803-1324,LOS ANGELES COUNTY,null,null
VALLEY AUTO REPAIR & SMOG STATION,SMOG STATION - TEST & REPAIR,VALID,(626) 282-9682,200 E VALLEY BLVD,Null,ALHAMBRA,CA,91801,LOS ANGELES COUNTY," LOI, FRANK TRACH",null
WEST VALLEY AUTOMOTIVE INC,SMOG STATION - TEST ONLY,CANCELLED,(626) 576-8463,1536 W VALLEY BLVD,Null,ALHAMBRA,CA,91803,LOS ANGELES COUNTY," LUI, GARY C","LUI, ANITA CAIYIN"
WEST VALLEY AUTOMOTIVE INC,SMOG STATION - TEST & REPAIR,VALID,(626) 576-8463,1536 W VALLEY BLVD,Null,ALHAMBRA,CA,91803,LOS ANGELES COUNTY," LUI, GARY C","LUI, ANITA CAIYIN"
WONDRIES TOYOTA,SMOG STATION - TEST & REPAIR,VALID,(626) 289-8000,1543 W MAIN ST,Null,ALHAMBRA,CA,91801-1949,LOS ANGELES COUNTY," WONDRIES, PAUL",null
Y TIRE SALES,SMOG STATION - TEST & REPAIR,CANCELLED,(626) 570-1113,2969 WEST VALLEY BLVD,Null,ALHAMBRA,CA,91803,LOS ANGELES COUNTY," SHUPING, SUN","YONG, WANG"
ALISO SMOG,SMOG STATION - TEST ONLY,CANCELLED,(949) 448-7002,27802 ALISO CREEK RD D180,Null,ALISO VIEJO,CA,92656,ORANGE COUNTY,null,null
ALISO SMOG CHECK,SMOG STATION - TEST ONLY,VALID,(949) 448-7002,27802 ALISO CREEK RD D180,Null,ALISO VIEJO,CA,92656-0000,ORANGE COUNTY," CHHIM, CODY",null
ALISO SMOG CHECK,SMOG STATION - TEST & REPAIR,REVOKED,(949) 448-7002,"27802 ALISO CREEK RD, D180",Null,ALISO VIEJO,CA,92656-0000,ORANGE COUNTY,null,null
ALISO SMOG CHECK,SMOG STATION - TEST ONLY,CANCELLED,(949) 448-7002,"27802 ALISO CREEK RD, D180",Null,ALISO VIEJO,CA,92656-0000,ORANGE COUNTY," RINGO, MIRJANA","RINGO, RALPH ANTHONY"
ALISO VIEJO AUTO SERVICE CENTER IN,SMOG STATION - TEST & REPAIR,CANCELLED,(949) 362-1961,27802 ALISO CREEK ROAD D110,Null,ALISO VIEJO,CA,92656,ORANGE COUNTY,null,null
LA PAZ SERVICE CENTER INC,SMOG STATION - TEST & REPAIR,CANCELLED,(949) 362-8955,27812 ALISO CREEK RD #120,Null,ALISO VIEJO,CA,92656,ORANGE COUNTY," GOLUPSKI, DOUGLAS DAVID","GOLUPSKI, STACI LYNN"
MEINEKE & ECONOLUBE #4129,SMOG STATION - TEST & REPAIR,CANCELLED,(949) 643-9667,22932 GLENWOOD DR,Null,ALISO VIEJO,CA,92656,ORANGE COUNTY,null,null
MODERN TECH ENGINEERING,SMOG STATION - TEST & REPAIR,REVOKED,(949) 707-6442,27802 ALISO CREEK RD #D-120,Null,ALISO VIEJO,CA,92656-3843,ORANGE COUNTY," KUCHEKI, RAY R",null
PACIFIC AUTOMOTIVE,SMOG STATION - TEST & REPAIR,CANCELLED,(949) 362-8212,22972 PACIFIC PARK DR UNIT B,Null,ALISO VIEJO,CA,92656,ORANGE COUNTY," SWEETT, JAMES",null
PACIFIC PARK UNION 76,SMOG STATION - TEST & REPAIR,CANCELLED,(949) 643-2441,24281 PACIFIC PARK,Null,ALISO VIEJO,CA,92656-0000,ORANGE COUNTY,null,null
PEP BOYS AUTO SERVICE & TIRES #880,SMOG STATION - TEST & REPAIR,VALID,(949) 362-9254,26881 ALISO CREEK RD,Null,ALISO VIEJO,CA,92656,ORANGE COUNTY," THE PEP BOYS MANNY, MOE & JACK, OF CALIFORNIA L",null
PEP BOYS AUTO #880,SMOG STATION - TEST & REPAIR,VALID,(949) 362-9254,26881 ALISO CREEK RD,Null,ALISO VIEJO,CA,92656-2882,ORANGE COUNTY," KANER, BRIAN","DEDES, LIVIU"
PEP BOYS AUTO #880,SMOG STATION - TEST & REPAIR,VALID,(949) 362-9254,26881 ALISO CREEK RD,Null,ALISO VIEJO,CA,92656-2882,ORANGE COUNTY," KANER, BRIAN","DEDES, LIVIU"
PEP BOYS AUTO SERVICE & TIRES #880,SMOG STATION - TEST & REPAIR,VALID,(949) 362-9254,26881 ALISO CREEK RD,Null,ALISO VIEJO,CA,92656,ORANGE COUNTY," THE PEP BOYS MANNY, MOE & JACK, OF CALIFORNIA L",null
